Name,Geber,Art,NJahr,Anschrift,Politikbereich,Zweck,Betrag
"""Industriesalon Schöneweide"" e. V. - Forum für Industrie -Technik - Kultur",Bezirksamt Treptow-Köpenick,Projektförderung,2019,"Reinbeckstraße 9, 12459 Berlin",Jugend,Filmreihe mit Diskussion,3507
"""Industriesalon Schöneweide"" e. V. - Forum für Industrie -Technik - Kultur",Bezirksamt Treptow-Köpenick,Projektförderung,2019,"Reinbeckstraße 9, 12459 Berlin",Kultur,Ausstellung Kunst trifft Industrie - Industrie trifft Kunst und 10 Jahre Industriesalon,5000
"""Industriesalon Schöneweide"" e. V. - Forum für Industrie -Technik - Kultur",Bezirksamt Treptow-Köpenick,Projektförderung,2019,"Reinbeckstraße 9, 12459 Berlin",Wirtschaft,Personal- und Sachkosten für Öffentlichkeitsarbeit im Rahmen der Entwicklung der Highlights der Industriekultur in Schöneweide,20000
"""Industriesalon Schöneweide"" e. V. - Forum für Industrie -Technik - Kultur",Bezirksamt Treptow-Köpenick,Projektförderung,2020,"Reinbeckstraße 10, 12459 Berlin",Kultur,Ausstellungen Schöner Strom/Einzug der Elektrizität in historische Puppenstuben,1800
"""Industriesalon Schöneweide"" e. V. - Forum für Industrie -Technik - Kultur",Bezirksamt Treptow-Köpenick,Projektförderung,2020,"Reinbeckstraße 10, 12459 Berlin",Wirtschaft,Personal- und Sachkosten für Öffentlichkeitsarbeit im Rahmen der Entwicklung der Highlights der Industriekultur in Schöneweide,18678
"""Industriesalon Schöneweide"" e. V. - Forum für Industrie -Technik - Kultur",Senatsverwaltung für Kultur und Europa,Projektförderung,2019,"Reinbeckstraße 10, 12459 Berlin",Denkmalschutz,Tour der Arbeit,7920
"""Industriesalon Schöneweide"" e. V. - Forum für Industrie -Technik - Kultur",Senatsverwaltung für Kultur und Europa,Projektförderung,2019,"Reinbeckstraße 9, 12459 Berlin",Kultur,"Digitalisierung ""Online-Präsentation des Technischen Fotoarchivs des ehemaligen Werks für Fernsehelektronik Berlin-Oberschöneweide """,48700
"""Lyra e. V."", Förderung der Integration für Deutsche Aussiedler und Spät-Aussiedler","Senatsverwaltung für Arbeit, Integration und Frauen",Projektförderung,2016,"Sewanstraße 43, 10319 Berlin",Arbeit,FAV - Hilfskraft im Bereich der Unterstützung bei Hausmeistertätigkeit und handwerklichen Hilfsarbeiten,2384
"""Lyra e. V."", Förderung der Integration für Deutsche Aussiedler und Spät-Aussiedler","Senatsverwaltung für Arbeit, Integration und Frauen",Projektförderung,2016,"Sewanstraße 43, 10319 Berlin",Arbeit,FAV - Technische Mitarbeit und Bürohilfe,2264
"""Lyra e. V."", Förderung der Integration für Deutsche Aussiedler und Spät-Aussiedler","Senatsverwaltung für Arbeit, Integration und Frauen",Projektförderung,2016,"Sewanstraße 43, 10319 Berlin",Arbeit,Hilfskraft im Bereich der Unterstützung bei Hausmeistertätigkeit und handwerklichen Hilfsarbeiten,2782
"""Lyra e. V."", Förderung der Integration für Deutsche Aussiedler und Spät-Aussiedler","Senatsverwaltung für Arbeit, Integration und Frauen",Projektförderung,2016,"Sewanstraße 43, 10319 Berlin",Arbeit,Integrationsassistenten für Migrantengruppen,9205
"""Lyra e. V."", Förderung der Integration für Deutsche Aussiedler und Spät-Aussiedler","Senatsverwaltung für Arbeit, Integration und Frauen",Projektförderung,2016,"Sewanstraße 43, 10319 Berlin",Arbeit,Technische Mitarbeit und Bürohilfe,8803
"""Lyra e. V."", Förderung der Integration für Deutsche Aussiedler und Spät-Aussiedler","Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Sewanstraße 43, 10319 Berlin",Arbeit,Hilfskraft im Bereich der Unterstützung bei Hausmeistertätigkeit und handwerklichen Hilfsarbeiten,1589
"""Lyra e. V."", Förderung der Integration für Deutsche Aussiedler und Spät-Aussiedler","Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Sewanstraße 43, 10319 Berlin",Arbeit,Integrationsassistenten für Migrantengruppen,34213
